dbh,lat,lon,id,crown_spread,multistem,common,species,genus,genus_common,family,order
8,40.6621252291,-73.9671997001,1646,6,No,Japanese Holly,Ilex crenata,Ilex,,Aquifoliaceae,Aquifoliales
8,40.6621371286,-73.9671604831,1659,6,Yes,Japanese Holly,Ilex crenata,Ilex,,Aquifoliaceae,Aquifoliales
4,40.6695654285,-73.9680543588,11820,30,Yes,Japanese Holly,Ilex crenata,Ilex,,Aquifoliaceae,Aquifoliales
6,40.6604171883,-73.9732672363,15528,10,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
16,40.6596601655,-73.9730397775,15614,20,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
7,40.6601509451,-73.9732817348,15638,10,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
10,40.6596654938,-73.9724053682,15670,30,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
7,40.6601803435,-73.9723372335,15708,25,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
8,40.6601990947,-73.9723362828,15710,25,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
15,40.6602658058,-73.972384294,15712,30,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
11,40.6603096876,-73.972506503,15874,30,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
7,40.6603349296,-73.9722868874,15880,30,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
7,40.6601813138,-73.972189439,15890,30,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
7,40.6605163111,-73.972713759,15919,40,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
10,40.6605191959,-73.9727727034,15928,40,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
8,40.661763503,-73.9660527238,643,15,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
6,40.6605862529,-73.9636207673,1829,5,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
5,40.6605508847,-73.9637159294,1916,8,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
6,40.6544567546,-73.9726759117,4359,20,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
5,40.6535017271,-73.9725983121,4524,20,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
6,40.6532094005,-73.972399703,4825,10,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
4,40.6577240437,-73.9640225842,5100,4,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6577459387,-73.9640606752,5110,4,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
8,40.6549122029,-73.9724447821,5560,20,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
7,40.6549302343,-73.9724614196,5569,20,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
3,40.6577438541,-73.9646350583,5644,5,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
3,40.6577519679,-73.9646029716,5650,5,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
3,40.6577757685,-73.9645794414,5664,5,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6577909142,-73.9645502068,5672,5,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
3,40.6575053076,-73.9644689206,5700,4,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6578068616,-73.9644181527,5708,4,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
3,40.6575328947,-73.9644846074,5709,4,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6578279575,-73.9644267091,5720,4,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
3,40.657544795,-73.9644617902,5721,4,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
3,40.6576026736,-73.9645330939,5738,4,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
3,40.6576156558,-73.9645601893,5748,4,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
5,40.6571527874,-73.9736848589,6512,10,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
5,40.6568952367,-73.9735390202,6528,10,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
6,40.6565753786,-73.9732207821,6632,10,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
7,40.6571384171,-73.9734201633,6751,15,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6579638572,-73.9733813876,6771,30,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
3,40.6594594993,-73.9759642554,7630,5,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6671929837,-73.9738996646,8582,5,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6671593312,-73.9738971294,8592,5,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6670352974,-73.9740264268,8612,5,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
10,40.6670420279,-73.9741785415,8642,25,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6670381819,-73.974106287,8663,3,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6656689167,-73.9756450513,8704,10,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6671923974,-73.9725939501,9082,3,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
6,40.6699052373,-73.9720445753,9169,15,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
6,40.6696163775,-73.9721394093,9229,10,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6679072614,-73.9734679355,9434,3,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
9,40.671263019,-73.9701383378,9595,20,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
7,40.6714669272,-73.9699076743,9615,20,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
10,40.6700361798,-73.9719692833,9723,15,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
8,40.6721936607,-73.9691458354,11043,12,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
7,40.6716154431,-73.9693331225,11113,30,Yes,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6673601964,-73.9726747499,12497,5,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
9,40.6642056015,-73.9685936576,14613,30,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
10,40.6603406992,-73.9721580654,15871,30,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6595658765,-73.9764773167,16056,5,No,Japanese Holly,Ilex opaca,Ilex,,Aquifoliaceae,Aquifoliales
11,40.6620563955,-73.9654264303,275,15,No,Devils-Walkingstick ,Aralia spinosa,Aralia,,Araliaceae,Apiales
6,40.6670838141,-73.9662832119,11860,25,No,Devils-Walkingstick ,Aralia spinosa,Aralia,,Araliaceae,Apiales
5,40.667321955,-73.9662513898,11861,20,Yes,Devils-Walkingstick ,Aralia spinosa,Aralia,,Araliaceae,Apiales
3,40.6673626404,-73.9663074068,11868,20,Yes,Devils-Walkingstick ,Aralia spinosa,Aralia,,Araliaceae,Apiales
6,40.667519167,-73.9662813838,12115,10,No,Devils-Walkingstick ,Aralia spinosa,Aralia,,Araliaceae,Apiales
20,40.6586591278,-73.9657457021,1394,35,No,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
3,40.658819524,-73.9631891409,2041,8,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
3,40.6583399396,-73.963262078,2068,8,No,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
8,40.658698025,-73.9631622529,2083,10,No,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
8,40.6586433928,-73.9631729485,2094,15,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6575128876,-73.9635888723,4968,4,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6575273122,-73.9635722348,4978,4,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6575301971,-73.9635912491,4989,4,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
4,40.6575405882,-73.964186302,5073,4,No,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
4,40.6575597008,-73.9642000874,5083,4,No,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
4,40.6575546522,-73.9642210031,5095,4,No,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
4,40.6575329546,-73.9641362478,5106,4,No,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
4,40.6575527884,-73.9641181841,5115,4,No,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
4,40.6575553127,-73.9641524099,5127,4,No,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6574421487,-73.963572884,5180,5,No,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6574546501,-73.9635522852,5192,5,No,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6574434108,-73.9634873195,5199,5,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6574520055,-73.9634564213,5210,5,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6574210527,-73.9634575304,5221,5,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6573498611,-73.9634473894,5273,5,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6573133186,-73.9634461218,5283,5,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6575261233,-73.9643782226,5641,3,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6575120593,-73.9643924833,5656,3,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6575190913,-73.9644131614,5663,3,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6570449989,-73.9635882007,6035,5,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6568084333,-73.9634627062,6047,3,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6570825031,-73.9636287646,6057,5,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6570988511,-73.9636211589,6062,5,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
3,40.6571123141,-73.9636046798,6079,5,No,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
2,40.656825743,-73.9635108758,6085,5,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6568267046,-73.9635501721,6089,5,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6568267046,-73.9635793274,6098,5,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6568055483,-73.9635793274,6107,5,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6567853536,-73.9635742569,6116,5,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6568122799,-73.9636135532,6125,5,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6574085005,-73.9635983417,6171,5,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
2,40.656938256,-73.9636363704,6184,5,No,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6569344094,-73.9636034122,6193,5,No,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6573700348,-73.963607215,6194,5,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6573450321,-73.9635932712,6203,5,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
2,40.6569113298,-73.9636160884,6205,5,No,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6572344431,-73.9636224265,6243,5,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6572450212,-73.9635920036,6251,5,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6572017472,-73.9635387634,6258,5,Yes,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
4,40.6608351305,-73.978631919,7486,6,No,"Holly, Spp. ",Ilex spp.,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6578574677,-73.9642921827,5602,3,Yes,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6575842823,-73.9646322061,5605,3,Yes,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6578132325,-73.9643048589,5606,3,Yes,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6578180406,-73.9643200704,5612,3,Yes,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6578363117,-73.9643454228,5621,3,Yes,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6578132325,-73.9643441552,5629,3,Yes,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6574706885,-73.9645430764,5717,3,Yes,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6574658202,-73.9645666066,5726,3,Yes,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6574912436,-73.964553772,5736,3,Yes,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6575053076,-73.9645523459,5762,3,Yes,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6575009802,-73.9645609023,5772,3,Yes,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6575074713,-73.9645801543,5782,3,Yes,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6575188307,-73.9645808674,5792,3,Yes,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6575355993,-73.964573737,5802,3,Yes,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
1,40.657558318,-73.9645901369,5813,3,Yes,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6575502042,-73.9646079628,5824,3,Yes,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6578372734,-73.964284577,5829,3,Yes,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6575740048,-73.9646257887,5831,3,Yes,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6578497746,-73.9642566893,5835,3,Yes,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
1,40.6575648091,-73.9646443277,5838,3,Yes,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
1,40.657838235,-73.9643124646,5839,3,Yes,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
6,40.6587604522,-73.9702078203,13184,30,Yes,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
6,40.6587489741,-73.9708142968,13225,25,No,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
7,40.6587150769,-73.970778645,13233,35,No,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
6,40.6589629781,-73.9706475687,13336,25,No,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
6,40.6589505684,-73.9707347253,13345,35,No,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
7,40.6587644762,-73.9717218761,13414,40,No,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
6,40.6587673611,-73.9716800445,13417,40,No,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
9,40.6587626732,-73.9716909778,13420,40,No,Winterberry Holly,Ilex verticillata,Ilex,,Aquifoliaceae,Aquifoliales
8,40.6634979412,-73.9632582367,115,10,No,Common Boxwood,Buxus sempervirens,Buxus,,Buxaceae,Buxales
4,40.6612816225,-73.9789660714,16075,8,No,Ruth Ellen Dogwood ,Cornus ‘Rutlan’ Ruth Ellen,Cornus,,Cornaceae,Cornales
5,40.6605862713,-73.9774438828,16076,8,No,Ruth Ellen Dogwood ,Cornus ‘Rutlan’ Ruth Ellen,Cornus,,Cornaceae,Cornales
4,40.6663375516,-73.9694790981,16115,8,No,Ruth Ellen Dogwood ,Cornus ‘Rutlan’ Ruth Ellen,Cornus,,Cornaceae,Cornales
2,40.6688429937,-73.9717080138,16172,2,No,Ruth Ellen Dogwood ,Cornus ‘Rutlan’ Ruth Ellen,Cornus,,Cornaceae,Cornales
2,40.6652045787,-73.9720072478,16199,2,No,Ruth Ellen Dogwood ,Cornus ‘Rutlan’ Ruth Ellen,Cornus,,Cornaceae,Cornales
1,40.656920967,-73.9631697802,5324,1,Yes,Pagoda Dogwood,Cornus alternifolia,Cornus,,Cornaceae,Cornales
1,40.6569450082,-73.9631710478,5332,1,Yes,Pagoda Dogwood,Cornus alternifolia,Cornus,,Cornaceae,Cornales
1,40.6603441123,-73.9755452544,6842,2,No,Pagoda Dogwood,Cornus alternifolia,Cornus,,Cornaceae,Cornales
1,40.6603213945,-73.975594454,6849,2,No,Pagoda Dogwood,Cornus alternifolia,Cornus,,Cornaceae,Cornales
2,40.6604571291,-73.9745289678,7042,5,No,Pagoda Dogwood,Cornus alternifolia,Cornus,,Cornaceae,Cornales
2,40.6605234794,-73.9745023477,7051,5,No,Pagoda Dogwood,Cornus alternifolia,Cornus,,Cornaceae,Cornales
9,40.6634499198,-73.9657740279,14225,20,Yes,Pagoda Dogwood,Cornus alternifolia,Cornus,,Cornaceae,Cornales
4,40.6680058224,-73.9736378632,16296,9,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
4,40.6611853158,-73.9650509907,42,5,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
7,40.6606085411,-73.9649497395,78,15,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
5,40.6610536984,-73.9650505154,80,10,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
4,40.661014754,-73.9650590718,85,5,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
4,40.6631994182,-73.9634579609,99,10,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
5,40.6628403785,-73.963650232,172,15,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
12,40.6638022129,-73.9635683561,305,30,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
6,40.6643131103,-73.9636404934,312,15,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
7,40.6642172921,-73.9637985073,321,20,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
11,40.6641858666,-73.9640102103,365,25,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
2,40.6618496145,-73.9659501621,662,3,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
2,40.6616674623,-73.9679641184,1441,5,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
3,40.6589109381,-73.9631948452,2053,8,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
4,40.6602843366,-73.9660015842,2571,6,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
6,40.6517725034,-73.9712678741,4293,10,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
1,40.6565430639,-73.967861211,4683,3,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
2,40.6576617844,-73.9642941797,5003,5,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
2,40.6576924366,-73.9643227012,5027,5,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
5,40.6554982227,-73.9728295847,5561,20,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
3,40.6552607501,-73.9724830486,5562,5,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
6,40.6555068778,-73.9728616714,5570,20,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
5,40.6554078859,-73.9726220908,5572,10,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
3,40.6551033361,-73.9725843,5587,20,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
3,40.6554354738,-73.9726384907,5598,5,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
2,40.6577454769,-73.964515268,5618,3,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
3,40.6574685249,-73.9645822935,5622,5,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
3,40.6574723113,-73.9646093889,5627,5,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
2,40.6575499239,-73.9643760835,5634,6,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
1,40.6575848232,-73.9647170576,5638,5,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
1,40.6575150442,-73.964762692,5649,6,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
2,40.6576383745,-73.9646906752,5722,5,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
3,40.6576124102,-73.9646635798,5728,5,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
2,40.6576372926,-73.964781944,5764,4,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
1,40.6577538514,-73.9644538046,5776,4,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
2,40.6576113284,-73.9647619789,5780,6,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
5,40.6523212587,-73.9703101469,5886,30,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
2,40.6568584391,-73.963409466,5922,5,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
2,40.6568334362,-73.9633600288,5926,5,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
2,40.6569459491,-73.9635248196,5986,5,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
1,40.6566237961,-73.9643360977,5990,3,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
1,40.6569507574,-73.9635628483,5996,5,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
2,40.6566362976,-73.9643006043,6001,3,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
2,40.6570084563,-73.9635463692,6013,5,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
2,40.6570794077,-73.964610617,6038,5,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
2,40.6571020665,-73.9645848684,6045,5,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
2,40.6571294133,-73.964593108,6065,5,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
1,40.6573469554,-73.9647873712,6095,5,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
2,40.6572559898,-73.9646507848,6126,5,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
2,40.6568545925,-73.9636110179,6134,5,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
1,40.6568247813,-73.9636579199,6153,5,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
1,40.6567959318,-73.9636870753,6162,5,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
2,40.6565901382,-73.9635869332,6177,8,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
2,40.6569998014,-73.9644831419,6189,5,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
1,40.6565959082,-73.9636325675,6190,5,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
1,40.6573575634,-73.9646487249,6196,5,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
2,40.6570132645,-73.9644375075,6198,5,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
1,40.6565834067,-73.9636782019,6200,5,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
1,40.6573927235,-73.9646734435,6219,5,Yes,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
2,40.6570296125,-73.9645173677,6238,5,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
1,40.654952259,-73.973054884,6416,5,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
2,40.6548075393,-73.9728987285,6448,10,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
2,40.6551621504,-73.9728778723,6483,5,No,Flowering Dogwood,Cornus florida,Cornus,,Cornaceae,Cornales
